domainSize;nIterations;nThreads;diskWriteIntensity;airflow;materialFile;simulationMode;simulationOutputFile;avgColumnTemperature;totalTime;iterationTime;;
256;39062;15;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/256x256_15threads_out_par2,h5;par2;50,598122;1,94E+00;4,97E-05;;6,40
256;39062;16;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/256x256_16threads_out_par2,h5;par2;50,598122;3,06E+00;7,83E-05;;4,06
512;19531;1;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/512x512_out_seq,h5;seq;30,967758;2,68E+01;1,37E-03;;1,00
512;19531;2;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/512x512_2threads_out_par1,h5;par1;30,967758;1,34E+01;6,88E-04;;1,99
512;19531;3;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/512x512_3threads_out_par1,h5;par1;30,967758;9,81E+00;5,02E-04;;2,73
512;19531;4;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/512x512_4threads_out_par1,h5;par1;30,967758;7,02E+00;3,59E-04;;3,81
512;19531;5;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/512x512_5threads_out_par1,h5;par1;30,967762;6,21E+00;3,18E-04;;4,31
512;19531;6;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/512x512_6threads_out_par1,h5;par1;30,967758;5,17E+00;2,65E-04;;5,17
512;19531;7;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/512x512_7threads_out_par1,h5;par1;30,967758;4,66E+00;2,39E-04;;5,74
512;19531;8;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/512x512_8threads_out_par1,h5;par1;30,96776;4,41E+00;2,26E-04;;6,06
512;19531;9;25;0,001;/lscratch/1166293,dm2/tmp_material,h5;/lscratch/1166293,dm2/512x512_9threads_out_par1,h5;par1;30,96776;4,24E+00;2,17E-04;;6,32
